video,frame,n_objects,mean_area,mean_confidence
45112025.MOV,328,5,196828.4,0.7523696819941202
45112025.MOV,329,5,195870.0,0.761505921681722
45112025.MOV,330,5,196256.8,0.7866799632708231
45112025.MOV,331,4,246796.75,0.7934797207514445
45112025.MOV,332,4,249547.75,0.7374756336212158
45112025.MOV,333,4,252473.25,0.7902748584747314
45112025.MOV,334,3,235897.33333333334,0.8050763209660848
45112025.MOV,335,3,239610.0,0.8470203479131063
45112025.MOV,336,3,242167.33333333334,0.8034025828043619
45112025.MOV,337,3,244757.66666666666,0.7911560932795206
45112025.MOV,338,3,246013.33333333334,0.8074363867441813
45112025.MOV,339,3,246618.66666666666,0.8768299619356791
45112025.MOV,340,3,246134.0,0.8680794636408488
45112025.MOV,341,3,246271.66666666666,0.8417326807975769
45112025.MOV,342,3,243472.0,0.8519466718037924
45112025.MOV,343,3,242088.66666666666,0.8718505303064982
45112025.MOV,344,3,241009.0,0.7864564458529154
45112025.MOV,345,3,241021.33333333334,0.8371114929517111
45112025.MOV,346,3,221528.66666666666,0.8320653438568115
45112025.MOV,347,3,202376.0,0.7982475757598877
45112025.MOV,348,3,239614.0,0.8016789555549622
45112025.MOV,349,3,212124.33333333334,0.8538971741994222
45112025.MOV,350,3,198087.66666666666,0.8749210834503174
45112025.MOV,351,3,193424.0,0.8554681738217672
45112025.MOV,352,3,191474.0,0.8334748148918152
45112025.MOV,353,3,189917.33333333334,0.8187025785446167
45112025.MOV,354,4,258300.75,0.7325656116008759
45112025.MOV,355,4,258167.5,0.8705185651779175
45112025.MOV,356,4,259827.75,0.7372174933552742
45112025.MOV,357,4,260708.5,0.8469975193341573
45112025.MOV,358,4,257841.75,0.829955538113912
45112025.MOV,359,4,254850.25,0.8544224699338278
45112025.MOV,360,4,251430.5,0.8536698420842489
45112025.MOV,361,4,248326.25,0.853731652100881
45112025.MOV,362,4,245146.5,0.8069629271825155
45112025.MOV,363,4,242682.0,0.7922728260358175
45112025.MOV,364,4,245545.0,0.6894132271409035
45112025.MOV,365,4,252379.0,0.8495514194170634
45112025.MOV,366,4,254715.75,0.8356520930926005
45112025.MOV,367,4,256298.0,0.8254122138023376
45112025.MOV,368,4,255973.0,0.8372850020726522
45112025.MOV,369,4,256058.25,0.8714789748191833
45112025.MOV,370,4,255047.0,0.8836833834648132
45112025.MOV,371,4,254055.75,0.8925671974817911
45112025.MOV,372,4,252342.0,0.8758833805720011
45112025.MOV,373,4,251155.5,0.8421173493067423
45112025.MOV,374,4,249819.0,0.8515181740125021
45112025.MOV,375,4,249044.0,0.8394930958747864
45112025.MOV,376,4,248363.5,0.8251371383666992
45112025.MOV,377,4,247319.25,0.7068994343280792
45112025.MOV,378,4,247507.0,0.7670279145240784
45112025.MOV,379,4,247198.25,0.856236477692922
45112025.MOV,380,4,247537.0,0.7999561627705892
45112025.MOV,381,4,246926.25,0.8420277237892151
45112025.MOV,382,4,247200.25,0.7987570365269979
45112025.MOV,383,4,247593.0,0.798877477645874
45112025.MOV,384,4,247589.75,0.7884657979011536
45112025.MOV,385,4,248040.5,0.7933132449785868
45112025.MOV,386,4,247660.5,0.7955110669136047
45112025.MOV,387,4,247850.0,0.8342416882514954
45112025.MOV,388,4,247742.0,0.8220418294270834
45112025.MOV,389,4,247670.75,0.6825958689053854
45112025.MOV,390,4,247545.75,0.8847801685333252
45112025.MOV,391,4,247678.0,0.722037692864736
45112025.MOV,392,4,247270.0,0.7098531723022461
45112025.MOV,393,4,247250.0,0.6738010843594869
45112025.MOV,394,4,246202.0,0.8695322573184967
45112025.MOV,395,4,246349.0,0.7619316776593527
45112025.MOV,396,4,245973.0,0.7361965080102285
45112025.MOV,397,4,244859.0,0.7174239158630371
45112025.MOV,398,4,244400.5,0.7026064097881317
45112025.MOV,399,4,243760.75,0.75525430838267
45112025.MOV,400,4,243207.25,0.8131037553151449
45112025.MOV,401,4,242512.75,0.8257889151573181
45112025.MOV,402,4,241983.5,0.8316031694412231
45112025.MOV,403,4,295794.5,0.6532917097210884
45112025.MOV,404,4,293051.5,0.7662938435872396
45112025.MOV,405,4,295537.25,0.6492014080286026
45112025.MOV,406,4,295678.25,0.7242927153905233
45112025.MOV,407,4,295994.5,0.7396988471349081
45112025.MOV,408,4,296766.0,0.80703204870224
45112025.MOV,409,4,298878.5,0.5905082896351814
45112025.MOV,410,4,297788.0,0.6813090840975443
45112025.MOV,411,4,296618.25,0.7726197441418966
45112025.MOV,412,4,295908.25,0.7917736967404684
45112025.MOV,413,4,294442.25,0.8102903564771017
45112025.MOV,414,4,293445.0,0.8077844778696696
45112025.MOV,415,4,291583.75,0.833253026008606
45112025.MOV,416,4,290191.0,0.7750295003255209
45112025.MOV,417,4,288421.75,0.7620711723963419
45112025.MOV,418,4,287101.0,0.8301926453908285
45112025.MOV,419,4,285494.75,0.7920862436294556
45112025.MOV,420,4,284329.5,0.8569837013880411
45112025.MOV,421,4,282578.25,0.8229535222053528
45112025.MOV,422,4,280768.75,0.8306776682535807
45112025.MOV,423,4,278341.75,0.7394553621610006
45112025.MOV,424,4,275936.5,0.7190762162208557
45112025.MOV,425,4,273410.5,0.6075025598208109
45112025.MOV,426,4,271367.75,0.6978786786397299
45112025.MOV,427,4,269226.75,0.7345409393310547
45112025.MOV,428,4,266716.0,0.7756684223810831
45112025.MOV,429,4,264038.25,0.7285338242848715
45112025.MOV,430,4,261242.5,0.773391842842102
45112025.MOV,431,4,258865.5,0.8008757630983988
45112025.MOV,432,4,308473.0,0.619611531496048
45112025.MOV,433,4,308798.5,0.6287869811058044
45112025.MOV,434,4,309261.25,0.7422827482223511
45112025.MOV,435,4,309340.0,0.7672689358393351
45112025.MOV,436,4,309652.5,0.7805686791737875
45112025.MOV,437,4,309571.25,0.7672980030377706
45112025.MOV,438,4,309134.75,0.7788078188896179
45112025.MOV,439,4,309324.0,0.8216144641240438
45112025.MOV,440,4,309667.5,0.8025608857472738
45112025.MOV,441,4,310222.0,0.7673860192298889
45112025.MOV,442,4,310888.0,0.8052945733070374
45112025.MOV,443,4,311626.75,0.7372862299283346
45112025.MOV,444,4,312253.5,0.7236642241477966
45112025.MOV,445,4,312588.0,0.6185640792051951
45112025.MOV,446,4,312091.5,0.7648228605588278
45112025.MOV,447,4,311898.75,0.7342778642972311
45112025.MOV,448,4,311875.75,0.7106996178627014
45112025.MOV,449,4,311013.5,0.7032817800839742
45112025.MOV,450,4,311713.75,0.6581524610519409
45112025.MOV,451,4,312353.75,0.6363276839256287
45112025.MOV,452,4,313066.75,0.7586255669593811
45112025.MOV,453,4,314217.0,0.65044304728508
45112025.MOV,454,4,315810.0,0.7005906701087952
45112025.MOV,455,4,316018.5,0.7297053933143616
45112025.MOV,456,4,316085.75,0.7667626539866129
45112025.MOV,457,4,316484.25,0.758091390132904
45112025.MOV,458,4,318095.25,0.693188488483429
45112025.MOV,459,4,318959.75,0.5999861558278402
45112025.MOV,460,4,320349.0,0.6193711459636688
45112025.MOV,461,4,321755.5,0.6057988703250885
45112025.MOV,462,4,323109.25,0.7356664339701334
45112025.MOV,463,4,324398.0,0.7606129248936971
45112025.MOV,464,3,249738.66666666666,0.844250500202179
45112025.MOV,465,3,251172.0,0.6931049625078837
45112025.MOV,466,3,253864.0,0.7057357430458069
45112025.MOV,467,3,255314.0,0.727636327346166
45112025.MOV,468,3,257349.33333333334,0.7136357625325521
